###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58379.521723  19.859  0.946    41   39 o  0   1.01   2.19813  -8.98482  4050.85  4222.30 3.08 2.81  -0.8 -0.433 18.13 19.74 01a58379o0673o
58380.496521  21.605  2.364     8   20 o  0   1.00   2.19813  -8.98482  3234.17  3636.75 4.73 3.31   1.8 -0.375 18.77 20.80 01a58380o0619o
58380.506628 -20.316  0.891   -27   24 o  0   1.59   2.19813  -8.98482  3253.67  3675.10 3.53 3.35  -2.0 -0.396 18.41 20.21 01a58380o0640o
58380.516689 -23.558 11.800    -1   16 o  0   1.21   2.19813  -8.98482  3194.60  3597.56 3.35 3.14   1.3 -0.417 19.01 20.82 01a58380o0661o
58380.526878  21.731  1.862     7   14 o  0   1.28   2.19813  -8.98482  3175.71  3713.46 3.15 3.12  -7.6 -0.426 19.03 20.83 01a58380o0682o
58381.461108 -20.483  0.557   -23   13 o  0   1.10   2.19813  -8.98482  7470.24  5591.38 2.11 2.02 -68.2 -0.437 19.29 20.04 02a58381o0440o
58381.468954  21.225  1.248    12   15 o  0   1.10   2.19813  -8.98482  7449.78  5554.33 2.43 2.16 -64.2 -0.410 19.21 20.03 02a58381o0457o
58381.478220  20.531  0.636    22   14 o  0   0.94   2.19813  -8.98482  7504.67  5632.36 2.29 2.08 -67.9 -0.426 19.24 20.00 02a58381o0477o
58381.488345 -25.461 46.000    -0   11 o  0   1.77   2.19813  -8.98482  7522.22  5516.23 2.48 2.15 -61.9 -0.400 19.22 20.02 02a58381o0499o
58382.479426 -21.984  4.083    -6   24 o  0   0.85   2.19813  -8.98482  6604.17  9081.23 2.31 2.24 -88.0 -0.450 19.00 19.65 02a58382o0579o
58382.489677  19.588  0.385    53   20 o  0   1.27   2.19813  -8.98482  6584.34  9043.89 2.14 2.11  36.0 -0.490 19.04 19.66 02a58382o0600o
58382.499750 -20.593  0.902   -21   19 o  0   1.81   2.19813  -8.98482  6641.85  9122.37 2.18 2.16 -44.9 -0.480 18.97 19.51 02a58382o0621o
58382.509886  20.725  1.235    19   23 o  0   1.17   2.19813  -8.98482  6661.07  9005.25 2.17 2.11 -67.1 -0.474 19.00 19.56 02a58382o0642o
58383.365765  20.051  1.575    35   54 o  0   1.09   2.19813  -8.98482  4735.91  5778.90 2.95 2.73  -1.3 -0.446 18.13 18.73 01a58383o0334o
58383.377535 -20.487  2.887   -23   67 o  0   1.33   2.19813  -8.98482  4715.71  5740.55 2.99 2.74  -8.4 -0.434 17.95 18.54 01a58383o0352o
58383.386759  19.351  1.080    66   71 o  0   1.05   2.19813  -8.98482  4773.68  5822.41 5.41 3.01  -0.9 -0.422 17.83 18.81 01a58383o0369o
58383.395167  21.552  5.610     9   49 o  0   1.66   2.19813  -8.98482  4790.58  5706.48 3.02 2.98 -29.6 -0.434 18.10 18.71 01a58383o0387o
58390.477284  20.190  0.520    30   16 o  0   1.48   2.19813  -8.98482  5564.82  8456.10 2.33 2.17 -63.1 -0.444 19.15 19.86 02a58390o0573o
58390.487230  20.809  1.020    17   18 o  0   1.46   2.19813  -8.98482  5545.30  8417.71 2.33 2.08 -62.1 -0.456 19.16 19.82 02a58390o0594o
58390.497272 -20.381  0.705   -26   18 o  0   0.90   2.19813  -8.98482  5622.87  8495.59 2.26 2.07 -61.4 -0.455 19.17 19.82 02a58390o0615o
58390.507250  21.109  1.292    13   17 o  0   1.22   2.19813  -8.98482  5642.96  8378.36 2.35 2.10 -63.3 -0.442 19.09 19.75 02a58390o0636o
58392.477509 -21.449  1.547   -10   15 o  0   1.04   2.19813  -8.98482  3717.33  3763.40 2.82 2.77  66.2 -0.453 19.20 20.56 01a58392o0542o
58392.487525  22.251  3.115     5   14 o  0   1.20   2.19813  -8.98482  3736.46  3801.12 2.86 2.68  89.5 -0.454 19.20 20.59 01a58392o0563o
58392.497578 -20.619  0.667   -20   14 o  0   1.12   2.19813  -8.98482  3676.63  3723.66 3.01 2.69 -87.6 -0.452 19.13 20.55 01a58392o0584o
58392.507685 -21.186  1.250   -12   15 o  0   0.94   2.19813  -8.98482  3659.04  3839.32 2.99 2.78 -85.9 -0.449 19.13 20.53 01a58392o0605o
58394.466062  20.743  0.771    18   14 o  0   0.73   2.19813  -8.98482  4972.05  8102.80 2.30 2.13 -64.1 -0.440 19.44 20.41 02a58394o0573o
58394.476012  20.839  0.634    17   11 o  0   1.31   2.19813  -8.98482  4951.99  8064.31 2.20 2.05 -69.2 -0.452 19.45 20.42 02a58394o0594o
58394.486005  21.722  1.692     7   13 o  0   1.41   2.19813  -8.98482  5009.29  8142.03 2.20 2.11 -61.5 -0.452 19.39 20.39 02a58394o0615o
58394.496062  21.218  1.265    12   15 o  0   0.83   2.19813  -8.98482  5029.96  8025.04 2.33 2.16 -59.0 -0.449 19.33 20.31 02a58394o0636o
58396.459670 -19.562  0.504   -54   27 o  0   1.01   2.19813  -8.98482  6433.81  5116.59 2.98 2.64 -84.9 -0.452 18.44 19.92 01a58396o0517o
58396.469671 -19.910  0.874   -39   34 o  0   1.01   2.19813  -8.98482  6452.40  5154.74 3.11 2.64 -82.5 -0.462 18.38 19.86 01a58396o0538o
58396.479710 -21.659  4.462    -8   35 o  0   1.45   2.19813  -8.98482  6392.68  5077.26 3.22 2.80 -86.3 -0.440 18.12 19.59 01a58396o0559o
58396.489745 -19.710  1.254   -47   60 o  0   1.16   2.19813  -8.98482  6374.72  5193.42 3.27 2.67 -87.7 -0.442 17.77 19.22 01a58396o0580o
58402.460858  23.139  4.062     2    8 c  0   1.65   2.19813  -8.98482  4323.76  6728.62 2.45 2.40 -77.3 -0.425 19.72 21.42 02a58402o0365c
58402.471378 -20.763  0.616   -18   11 c  0   0.64   2.19813  -8.98482  4303.49  6688.79 2.44 2.37 -72.6 -0.431 19.70 21.39 02a58402o0387c
58402.481353  20.243  0.342    29   10 c  0   1.07   2.19813  -8.98482  4360.45  6766.34 2.42 2.35 -69.4 -0.431 19.70 21.38 02a58402o0408c
58402.492075 -22.868  4.000    -3   10 c  0   1.00   2.19813  -8.98482  4381.31  6651.00 2.37 2.32 -59.5 -0.444 19.69 21.33 02a58402o0430c
58403.435768  20.525  0.677    22   15 o  0   1.05   2.19813  -8.98482  3732.28  1848.38 3.08 2.94  17.1 -0.450 19.17 20.92 01a58403o0494o
58403.445480  20.426  0.716    24   18 o  0   1.43   2.19813  -8.98482  3752.13  1885.45 3.22 2.79   0.7 -0.446 18.82 20.58 01a58403o0515o
58403.455774  21.483  1.889     9   18 o  0   1.40   2.19813  -8.98482  3692.63  1807.31 3.08 2.89  10.3 -0.446 18.70 20.55 01a58403o0537o
58403.466022  23.915 15.000     1   15 o  0   1.00   2.19813  -8.98482  3674.61  1923.67 2.94 2.76   5.3 -0.455 19.07 20.78 01a58403o0559o
58405.427693  20.647  0.467    20    9 c  0   1.20   2.19813  -8.98482  7456.86  6716.39 2.68 2.55 -76.2 -0.392 19.62 21.46 02a58405o0439c
58405.437399  20.802  0.508    17    9 c  0   1.30   2.19813  -8.98482  7438.40  6678.70 2.64 2.46 -73.5 -0.397 19.71 21.53 02a58405o0460c
58405.447217  20.608  0.503    21   10 c  0   0.95   2.19813  -8.98482  7494.61  6757.23 2.79 2.57 -72.0 -0.390 19.67 21.56 02a58405o0481c
58405.457534  20.920  0.566    16    9 c  0   1.39   2.19813  -8.98482  7513.64  6642.77 2.49 2.37 -65.6 -0.440 19.72 21.53 02a58405o0503c
58406.426913  20.201  0.315    30   10 o  0   1.60   2.19813  -8.98482  6220.90  7251.65 2.12 2.00 -75.4 -0.474 19.56 20.64 02a58406o0506o
58406.436938 -21.343  0.925   -10   10 o  0   1.37   2.19813  -8.98482  6202.49  7214.49 2.12 1.95 -66.1 -0.460 19.61 20.66 02a58406o0527o
58406.446998 -20.660  0.557   -20   11 o  0   1.37   2.19813  -8.98482  6259.35  7292.58 2.18 2.05 -80.5 -0.464 19.49 20.62 02a58406o0548o
58406.457059  21.192  0.905    12   11 o  0   1.28   2.19813  -8.98482  6278.27  7176.62 2.18 2.00 -73.7 -0.455 19.48 20.60 02a58406o0569o
58409.399700  20.665  2.455    20   48 o  0   1.34   2.19813  -8.98482  4039.71  6451.44 2.47 2.18 -60.7 -0.424 17.79 18.05 02a58409o0451o
58409.409858 -21.750  8.077    -7   58 o  0   1.00   2.19813  -8.98482  4019.56  6413.99 2.45 2.14 -56.7 -0.402 17.61 17.76 02a58409o0473o
58409.419651  18.878  0.979   102  100 o  0   0.94   2.19813  -8.98482  4075.99  6492.64 2.86 2.30 -58.3 -0.351 17.28 17.61 02a58409o0494o
58409.429901  20.878  2.026    16   33 o  0   1.80   2.19813  -8.98482  4097.12  6377.89 2.25 2.05 -64.4 -0.437 18.06 18.57 02a58409o0516o
58410.411696  17.566  4.129   342 1410 o  0   1.40   2.19813  -8.98482  5859.48  6610.69 2.18 1.97 -68.4 -0.508 14.48 14.24 02a58410o0393o
58410.421849  17.236  1.924   463  891 o  0   1.04   2.19813  -8.98482  5840.83  6574.47 2.10 1.90 -70.1 -0.491 14.85 14.65 02a58410o0414o
58410.431903  18.560  0.939   137  128 o  0   2.33   2.19813  -8.98482  5898.44  6651.88 2.11 1.91 -70.9 -0.462 16.68 16.59 02a58410o0435o
58410.441953  18.413  0.578   157   90 o  0   1.10   2.19813  -8.98482  5917.66  6536.18 2.18 1.93 -71.0 -0.481 17.25 17.33 02a58410o0456o
58416.468413  21.914  6.688     6   42 o  0   0.84   2.19813  -8.98482  4431.24  4156.97 2.93 2.89 -26.8 -0.447 18.08 18.71 01a58416o0578o
58416.477449 -20.124  1.318   -32   43 o  0   0.96   2.19813  -8.98482  4450.81  4195.33 2.85 2.83 -31.3 -0.457 18.02 18.65 01a58416o0597o
58416.486545  20.454  1.655    24   40 o  0   1.22   2.19813  -8.98482  4391.69  4119.05 2.95 2.91  -9.2 -0.444 17.95 18.58 01a58416o0616o
58416.496159  21.912  7.241     6   45 o  0   1.20   2.19813  -8.98482  4375.22  4236.91 3.13 2.93 -83.3 -0.445 17.80 18.50 01a58416o0635o
58417.397310  20.076  0.603    34   20 o  0   1.31   2.19813  -8.98482  7422.67  6033.97 2.79 2.43 -61.4 -0.358 18.77 19.30 02a58417o0428o
58417.406983 -22.294  4.919    -4   22 o  0   0.98   2.19813  -8.98482  7403.97  5995.72 2.49 2.18 -68.2 -0.395 18.87 19.27 02a58417o0449o
