###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58261.330037 -22.531 10.500    -4   37 o  0   1.16 183.04289  13.24918  4887.43  7846.24 3.12 2.82 -89.9 -0.441 18.51 19.44 01a58261o0168o
58261.341679 -20.454  1.571   -24   38 o  0   0.98 183.04289  13.24918  4912.74  7929.48 3.26 3.00 -82.0 -0.425 18.48 19.48 01a58261o0190o
58261.353175  20.602  2.176    21   45 o  0   1.20 183.04289  13.24918  4863.94  7897.53 3.46 2.99 -89.3 -0.433 18.46 19.38 01a58261o0211o
58261.365296  24.346 79.333     1   53 o  0   0.80 183.04289  13.24918  4853.62  8058.57 3.38 2.91 -88.7 -0.446 18.42 19.31 01a58261o0233o
58263.363706 -20.548  1.182   -22   26 o  0   0.91 183.04289  13.24918  2624.72   972.64 2.31 2.06  43.9 -0.479 18.64 19.10 02a58263o0272o
58263.374519 -19.847  0.599   -42   25 o  0   1.15 183.04289  13.24918  2588.70   932.16 2.20 1.97  44.6 -0.469 18.59 19.07 02a58263o0294o
58263.385982  20.732  1.316    18   24 o  0   1.46 183.04289  13.24918  2666.97  1009.50 2.31 2.11  39.2 -0.468 18.49 19.03 02a58263o0317o
58263.396867  20.285  0.940    28   26 o  0   1.10 183.04289  13.24918  2685.53   891.78 2.24 2.03  41.2 -0.504 18.46 18.96 02a58263o0339o
58265.365835  21.860  7.875     6   52 o  0   0.82 183.04289  13.24918   439.81    44.89 3.87 3.24 -21.6 -0.411 18.49 19.34 01a58265o0234o
58265.366301  19.304  0.422    69   29 o  0   0.95 183.04289  13.24918  5313.71  9758.21 3.12 2.78 -83.1 -0.468 18.51 19.41 01a58265o0235o
58265.376077 -20.360  1.336   -26   35 o  0   1.16 183.04289  13.24918   470.82   122.36 3.46 3.06 -22.0 -0.435 18.27 19.23 01a58265o0255o
58265.376535  21.016  2.214    14   32 o  0   0.87 183.04289  13.24918  5266.47  9717.40 3.17 2.82 -85.4 -0.458 18.49 19.34 01a58265o0256o
58265.385058  19.373  0.550    65   36 o  0   1.01 183.04289  13.24918 10059.86    96.38 3.30 2.96 -68.2 -0.455 18.40 19.14 01a58265o0273o
58265.386501  18.878  0.662   102   68 o  0   1.21 183.04289  13.24918   422.14    78.91 3.43 3.08 -25.9 -0.441 18.27 19.10 01a58265o0276o
58265.386960  22.198  7.727     5   37 o  0   1.14 183.04289  13.24918  5258.41  9870.76 3.28 2.79 -82.4 -0.460 18.21 19.02 01a58265o0277o
58265.396961 -21.983  7.440    -6   44 o  0   0.94 183.04289  13.24918   415.67   232.49 3.42 3.06 -21.2 -0.434 18.36 19.11 01a58265o0297o
58269.277980 -21.826  2.846    -7   19 o  0   1.06 183.04289  13.24918  7015.43  9258.19 3.82 3.16 -84.5 -0.422 18.90 20.25 01a58269o0096o
58269.279585 -20.992  1.433   -15   21 o  0   1.20 183.04289  13.24918  7035.20  9303.85 3.76 2.95 -81.8 -0.432 18.95 20.24 01a58269o0099o
58269.298585  20.674  1.074    20   21 o  0   1.12 183.04289  13.24918  6985.51  9302.77 3.77 2.91 -80.0 -0.427 18.92 20.12 01a58269o0137o
58269.302816  21.010  1.552    14   22 o  0   1.15 183.04289  13.24918  6969.06  9437.01 3.70 3.03 -86.3 -0.425 18.86 20.09 01a58269o0145o
58271.346355  21.772  2.076     7   15 o  0   1.08 183.04289  13.24918  6039.12  3468.07 2.21 2.05 -63.3 -0.450 19.29 20.23 02a58271o0232o
58271.355455 -20.600  0.812   -21   17 o  0   0.74 183.04289  13.24918  6002.38  3428.57 2.36 2.27 -60.3 -0.444 19.20 20.17 02a58271o0250o
58271.365954  19.764  0.339    45   15 o  0   1.42 183.04289  13.24918  6079.48  3505.85 2.46 2.38 -53.7 -0.442 19.07 20.09 02a58271o0270o
