HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459529.548,2021-11-11.0437077,bl,2.31,17.916,>17.916,99.99,-0.084,0.049,g
2459529.557,2021-11-11.0528594,bH,1.39,18.085,>18.085,99.99,-0.116,0.042,g
2459530.897,2021-11-12.3923533,bD,1.46,18.533,>18.533,99.99,0.004,0.028,g
2459535.75,2021-11-17.2459697,bD,1.67,16.685,>16.685,99.99,0.019,0.154,g
2459536.597,2021-11-18.0934288,bl,1.59,16.929,>16.929,99.99,0.079,0.123,g
2459538.7,2021-11-20.1964310,bt,1.6,17.191,>17.191,99.99,-0.162,0.097,g
2459541.87,2021-11-23.3667951,bD,1.47,18.092,>18.092,99.99,-0.089,0.042,g
2459543.879,2021-11-25.3760644,bD,1.47,18.233,>18.233,99.99,-0.008,0.037,g
2459545.854,2021-11-27.3511013,bD,1.49,18.982,>18.982,99.99,-0.015,0.019,g
2459546.764,2021-11-28.2611606,bD,1.63,19.428,>19.428,99.99,-0.03,0.012,g
2459550.287,2021-12-01.7844935,bp,1.54,18.183,>18.183,99.99,-0.077,0.039,g
2459552.694,2021-12-04.1913567,bt,1.49,18.716,>18.716,99.99,-0.035,0.024,g
2459555.746,2021-12-07.2432995,bt,1.54,18.439,>18.439,99.99,-0.026,0.031,g
2459556.578,2021-12-08.0760725,bl,1.48,18.099,>18.099,99.99,-0.034,0.042,g
2459563.282,2021-12-14.7804486,bp,2.08,16.724,>16.724,99.99,-0.072,0.148,g
2459565.321,2021-12-16.8192398,bp,1.59,16.739,>16.739,99.99,-0.476,0.146,g
2459566.557,2021-12-18.0557645,bH,1.44,16.888,>16.888,99.99,-0.467,0.128,g
2459569.689,2021-12-21.1875789,bt,1.57,17.245,>17.245,99.99,0.033,0.092,g
2459571.682,2021-12-23.1809890,bt,1.45,17.08,>17.080,99.99,0.143,0.107,g
2459574.675,2021-12-26.1743966,bt,1.49,18.018,>18.018,99.99,0.05,0.045,g
2459576.546,2021-12-28.0457107,bl,1.48,17.73,>17.730,99.99,0.067,0.059,g
2459579.627,2021-12-31.1271741,bt,1.54,18.548,>18.548,99.99,0.024,0.028,g
2459583.652,2022-01-04.1519091,bt,1.54,18.486,>18.486,99.99,-0.047,0.029,g
2459585.576,2022-01-06.0767711,bt,1.49,18.502,>18.502,99.99,0.001,0.029,g
2459586.611,2022-01-07.1117312,bt,1.5,18.27,>18.270,99.99,-0.089,0.036,g
2459593.721,2022-01-14.2218430,bD,1.6,17.964,>17.964,99.99,-0.042,0.047,g
2459598.707,2022-01-19.2082945,bD,1.63,17.707,>17.707,99.99,0.021,0.06,g
2459601.704,2022-01-22.2057491,bD,1.79,17.382,>17.382,99.99,-0.165,0.081,g
2459603.604,2022-01-24.1056784,bt,1.57,18.232,>18.232,99.99,0.091,0.037,g
2459608.573,2022-01-29.0756653,bt,1.59,18.227,>18.227,99.99,-0.002,0.037,g
2459611.57,2022-02-01.0725206,bt,1.83,18.368,>18.368,99.99,-0.005,0.033,g
2459710.119,2022-05-10.6230785,bD,2.07,16.368,>16.368,99.99,-0.504,0.206,g
2459711.115,2022-05-11.6195782,bD,1.62,17.298,>17.298,99.99,-0.062,0.087,g
2459718.931,2022-05-19.4343815,bl,2,16.104,>16.104,99.99,-0.019,0.263,g
2459719.927,2022-05-20.4304185,bl,1.57,17.304,>17.304,99.99,-0.109,0.087,g
2459722.915,2022-05-23.4189738,bH,1.51,17.783,>17.783,99.99,0.015,0.056,g
2459726.914,2022-05-27.4176284,bH,1.36,18.586,>18.586,99.99,-0.049,0.027,g
2459729.951,2022-05-30.4544312,bt,1.53,16.723,>16.723,99.99,0.188,0.149,g
2459735.681,2022-06-05.1835238,bp,1.48,17.392,>17.392,99.99,-0.004,0.08,g
2459736.677,2022-06-06.1797428,bp,1.57,17.704,>17.704,99.99,-0.134,0.06,g
2459737.68,2022-06-07.1824083,bp,1.51,17.382,>17.382,99.99,-0.019,0.081,g
2459740.687,2022-06-10.1893027,bp,1.51,16.649,>16.649,99.99,-0.448,0.159,g
2459742.92,2022-06-12.4216280,bt,1.6,18.195,>18.195,99.99,-0.102,0.038,g
2459751.112,2022-06-20.6132237,bD,1.72,17.614,>17.614,99.99,0.063,0.065,g
2459757.606,2022-06-27.1068491,bp,1.51,17.944,>17.944,99.99,-0.141,0.048,g
2459761.01,2022-06-30.5103012,bD,1.54,18.765,>18.765,99.99,-0.004,0.023,g
2459762.872,2022-07-02.3723506,bl,1.61,18.535,>18.535,99.99,-0.042,0.028,g
