###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58328.277464  18.400  0.089   158   14 o  0   0.97 252.70876  45.39802  2730.62  6341.22 1.93 1.81 -25.6 -0.471 19.40 20.08 02a58328o0092o
58328.281595  18.492  0.083   146   12 o  0   1.58 252.70876  45.39802  2796.85  6417.50 2.05 1.87 -31.1 -0.455 19.31 20.04 02a58328o0101o
58328.296281  18.500  0.109   144   16 o  0   1.11 252.70876  45.39802  2801.94  6296.42 2.35 1.93 -41.1 -0.411 19.21 19.96 02a58328o0132o
58330.361981  18.423  0.163   155   25 o  0   0.98 252.70876  45.39802  9627.73  5145.73 3.84 3.10 -82.3 -0.447 18.71 19.98 01a58330o0276o
58330.370331  18.791  0.237   111   26 o  0   0.86 252.70876  45.39802   127.54  5315.04 3.28 3.17 -70.9 -0.427 18.70 20.01 01a58330o0294o
58330.371252  18.276  0.154   178   27 o  0   0.86 252.70876  45.39802  9657.49  5184.00 3.66 3.04 -80.4 -0.457 18.76 19.93 01a58330o0296o
58330.377986  18.571  0.217   135   29 o  0   0.91 252.70876  45.39802  9584.63  5109.53 4.19 3.12 -83.1 -0.453 18.68 19.91 01a58330o0310o
58330.378906  18.328  0.168   169   28 o  0   0.94 252.70876  45.39802   140.32  5352.45 3.13 2.96  60.5 -0.447 18.75 19.95 01a58330o0312o
58330.390895  18.404  0.166   158   26 o  0   1.46 252.70876  45.39802    83.60  5271.01 3.26 3.00  78.5 -0.442 18.69 19.94 01a58330o0338o
58330.391356  18.411  0.193   157   30 o  0   0.88 252.70876  45.39802  9573.43  5228.65 4.12 3.06 -84.8 -0.440 18.62 19.86 01a58330o0339o
58330.396585  18.468  0.196   149   29 o  0   1.27 252.70876  45.39802    73.10  5386.46 3.35 3.13  82.7 -0.428 18.68 19.95 01a58330o0350o
58334.358240  18.203  1.167   190  222 o  0   1.17 252.70876  45.39802  9259.68  3207.58 3.38 3.00 -78.1 -0.424 16.62 18.25 01a58334o0200o
58334.366229  18.727  0.525   117   62 o  0   1.06 252.70876  45.39802  9222.02  3169.12 3.61 2.93 -83.3 -0.428 17.71 19.34 01a58334o0215o
58334.367150  18.025  0.257   224   58 o  0   0.82 252.70876  45.39802  9278.18  3243.31 3.56 2.86 -83.9 -0.433 18.16 19.81 01a58334o0217o
58334.383896  18.287  0.575   176  101 o  0   0.94 252.70876  45.39802  9212.04  3287.43 3.50 2.83 -82.9 -0.441 17.25 18.93 01a58334o0247o
58338.337518  18.670  0.096   124   12 o  0   1.54 252.70876  45.39802  8034.11  3643.81 3.11 2.89 -14.8 -0.422 19.36 21.18 01a58338o0233o
58338.343674 -17.530  0.042  -353   15 o  0  42.25 252.70876  45.39802  8063.94  3680.61 3.33 3.11 -29.7 -0.404 19.35 21.24 01a58338o0246o
58338.355723  18.476  0.092   148   14 o  0   1.12 252.70876  45.39802  7997.27  3606.73 3.12 2.81 -77.9 -0.435 19.42 21.15 01a58338o0272o
58338.362836  18.452  0.082   151   12 o  0   1.08 252.70876  45.39802  7986.62  3721.97 3.19 2.70 -81.4 -0.443 19.49 21.26 01a58338o0287o
58342.327448  18.702  0.107   120   13 o  0   1.02 252.70876  45.39802  7414.55  4655.30 3.30 3.01 -75.1 -0.427 19.39 21.33 01a58342o0193o
58342.335804  18.732  0.117   117   14 o  0   1.12 252.70876  45.39802  7443.27  4693.22 3.30 3.03 -82.2 -0.429 19.40 21.25 01a58342o0211o
58342.341473  18.855  0.127   104   13 o  0   1.33 252.70876  45.39802  7387.69  4617.58 3.50 3.02 -86.8 -0.424 19.33 21.22 01a58342o0223o
58342.353522  18.958  0.139    95   13 o  0   1.01 252.70876  45.39802  7364.98  4736.24 3.27 3.01 -80.2 -0.427 19.35 21.23 01a58342o0249o
58344.348662  19.677  0.180    49    9 c  0   1.36 252.70876  45.39802  2384.69  4909.38 2.60 2.39 -51.3 -0.393 19.70 21.78 02a58344o0250c
58344.356221  19.654  0.205    50   10 c  0   0.99 252.70876  45.39802  2357.33  4869.80 2.54 2.47 -46.8 -0.402 19.73 21.77 02a58344o0266c
58344.368123  20.174  0.291    31    9 c  0   1.04 252.70876  45.39802  2410.50  4944.18 2.50 2.38 -44.4 -0.410 19.70 21.72 02a58344o0292c
58344.373902  19.492  0.189    58   11 c  0   0.90 252.70876  45.39802  2437.07  4825.03 2.60 2.44 -43.9 -0.396 19.67 21.70 02a58344o0304c
58348.313439  18.994  0.125    92   12 o  0   1.21 252.70876  45.39802  2972.60  8018.14 2.53 2.08 -50.9 -0.398 19.51 20.75 02a58348o0191o
58348.321377  19.193  0.158    76   12 o  0   0.98 252.70876  45.39802  2956.35  7980.46 2.48 2.04 -43.6 -0.407 19.50 20.73 02a58348o0208o
58348.329324  18.993  0.135    92   12 o  0   1.48 252.70876  45.39802  3008.76  8053.49 2.40 2.00 -42.1 -0.409 19.53 20.67 02a58348o0225o
58348.339548  19.342  0.179    67   12 o  0   1.19 252.70876  45.39802  3022.10  7934.94 2.05 1.86 -23.2 -0.454 19.58 20.66 02a58348o0247o
58352.307518  18.101  0.484   209  101 o  0   1.19 252.70876  45.39802  2941.80  7786.04 2.56 2.23 -47.3 -0.446 17.28 17.53 02a58352o0040o
58352.315412 -18.990  0.922   -92   85 o  0   1.76 252.70876  45.39802  2923.79  7746.09 2.62 2.29 -47.5 -0.423 17.34 17.70 02a58352o0057o
58352.323336  17.521  1.233   356  439 o  0   2.31 252.70876  45.39802  2974.17  7820.69 2.58 2.21 -43.0 -0.402 15.53 15.86 02a58352o0074o
58352.331811  18.349  1.260   166  209 o  0   2.87 252.70876  45.39802  2998.66  7703.28 2.59 2.20 -46.2 -0.408 16.35 16.45 02a58352o0092o
58360.279959  19.504  0.186    57   11 o  0   0.82 252.70876  45.39802  2015.06  6610.12 2.24 1.88 -45.9 -0.422 19.72 21.19 02a58360o0137o
58360.288394  19.780  0.251    44   11 o  0   1.14 252.70876  45.39802  1984.87  6570.99 2.25 1.89 -41.9 -0.426 19.70 21.09 02a58360o0155o
58360.296782  19.657  0.271    50   14 o  0   0.87 252.70876  45.39802  2050.19  6647.61 2.38 1.97 -46.0 -0.416 19.57 20.79 02a58360o0173o
58360.304677  19.602  0.275    52   14 o  0   0.77 252.70876  45.39802  2064.18  6527.49 1.98 1.79 -25.4 -0.465 19.54 20.51 02a58360o0190o
58362.276419  19.385  0.301    64   19 o  0   0.87 252.70876  45.39802  9068.99  3899.99 3.34 3.21 -75.5 -0.606 19.17 20.85 01a58362o0130o
58362.284372  19.357  0.232    66   15 o  0   1.17 252.70876  45.39802  9098.63  3937.38 3.32 3.17 -65.5 -0.425 19.21 20.85 01a58362o0147o
58362.291327  19.323  0.268    68   18 o  0   0.92 252.70876  45.39802  9030.36  3864.56 3.62 2.96 -82.7 -0.432 19.19 20.79 01a58362o0162o
58362.299210  19.613  0.311    52   16 o  0   1.02 252.70876  45.39802  9021.04  3982.81 3.19 3.00 -59.1 -0.437 19.25 20.79 01a58362o0179o
58364.271139  19.412  0.241    62   15 o  0   0.68 252.70876  45.39802  2519.82  4336.83 2.58 2.15 -52.1 -0.417 19.46 20.65 02a58364o0017o
58364.280087  20.317  0.485    27   13 o  0   0.99 252.70876  45.39802  2501.25  4298.30 2.63 2.24 -54.2 -0.407 19.41 20.64 02a58364o0036o
58364.288515  19.505  0.223    57   13 o  0   0.93 252.70876  45.39802  2553.24  4374.45 2.56 2.23 -50.6 -0.414 19.43 20.67 02a58364o0054o
58364.296470  19.844  0.305    42   13 o  0   0.88 252.70876  45.39802  2563.72  4254.61 2.42 2.07 -53.9 -0.420 19.48 20.65 02a58364o0071o
