###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58266.406867  20.723  1.398    19   26 o  0   1.24 208.90703  40.47754  4720.12  3271.08 3.08 2.88   0.9 -0.464 18.58 19.52 01a58266o0353o
58266.411153 -20.973  1.985   -15   29 o  0   0.98 208.90703  40.47754  4711.73  3404.06 3.38 2.98  -0.8 -0.438 18.57 19.51 01a58266o0362o
58270.368244   0.000 20.309    -0   27 o  0   0.99 208.90703  40.47754  5478.17  5203.75 3.15 3.00   2.2 -0.416 18.69 19.86 01a58270o0288o
58270.380467  19.769  0.473    45   21 o  0   1.13 208.90703  40.47754  5503.40  5290.35 2.96 2.85  -9.8 -0.434 18.97 20.13 01a58270o0314o
58270.392018 -20.164  0.664   -31   21 o  0   1.03 208.90703  40.47754  5453.77  5259.03 3.11 3.00  -7.5 -0.420 18.90 20.02 01a58270o0339o
58270.397313  22.527  7.750     4   27 o  0   1.19 208.90703  40.47754  5445.64  5394.91 3.11 3.03  19.0 -0.417 18.61 19.75 01a58270o0350o
58272.390597  22.124  5.500     5   28 o  0   1.00 208.90703  40.47754  4285.62  6176.62 2.34 2.21 -36.7 -0.453 18.67 19.89 02a58272o0334o
58272.406928  21.947  2.737     6   16 o  0   0.88 208.90703  40.47754  4328.22  6214.17 2.13 1.89 -35.5 -0.463 19.13 20.01 02a58272o0369o
58272.422786  20.195  0.810    30   25 o  0   0.78 208.90703  40.47754  4346.41  6097.94 2.17 2.00 -36.4 -0.455 18.97 19.80 02a58272o0403o
58274.386701  20.515  0.736    23   17 o  0   0.82 208.90703  40.47754  2759.39  3411.32 3.13 2.95   1.3 -0.438 19.33 21.06 01a58274o0327o
58274.395915 -22.481  4.842    -4   18 o  0   1.00 208.90703  40.47754  2784.73  3485.09 2.99 2.82  10.5 -0.444 19.33 21.00 01a58274o0347o
58274.403513  19.703  0.329    48   16 o  0   1.15 208.90703  40.47754  2734.36  3435.84 3.18 3.00   5.3 -0.431 19.30 21.02 01a58274o0363o
58274.417392 -20.047  0.534   -35   19 o  0   1.21 208.90703  40.47754  2738.23  3601.50 3.14 2.96  10.9 -0.437 19.10 20.65 01a58274o0393o
58276.392409  16.667  0.689   782  539 o  0   1.14 208.90703  40.47754  4890.57  6791.46 2.31 2.16 -36.6 -0.439 15.29 16.23 02a58276o0278o
58276.398716 -17.568  1.882  -341  642 o  0   1.18 208.90703  40.47754  4874.72  6752.31 2.11 2.01  16.4 -0.381 14.91 15.75 02a58276o0291o
58276.416466 -17.442  0.400  -383  153 o  0   1.32 208.90703  40.47754  4931.99  6827.20 2.43 2.17 -37.4 -0.381 17.12 18.01 02a58276o0329o
58278.403500  20.283  0.507    28   14 o  0   1.21 208.90703  40.47754  5001.34  4266.26 3.12 2.96  80.8 -0.422 19.36 21.12 01a58278o0308o
58278.407386 -20.255  0.584   -29   17 o  0   0.94 208.90703  40.47754  4993.88  4395.98 3.93 2.99   0.8 -0.407 19.21 21.10 01a58278o0316o
58280.385436  21.403  1.000    10   10 c  0   1.00 208.90703  40.47754  6431.11  7301.89 2.46 2.37   2.8 -0.422 19.81 21.77 02a58280o0305c
58280.397805  21.117  0.716    13    9 c  0   1.53 208.90703  40.47754  6414.17  7262.23 2.46 2.39 -10.9 -0.418 19.79 21.72 02a58280o0332c
58280.417360  20.912  0.987    16   16 c  0   1.19 208.90703  40.47754  6458.31  7340.65 2.52 2.44  -0.1 -0.426 19.25 21.04 02a58280o0374c
58280.421332  21.025  0.682    14   10 c  0   1.18 208.90703  40.47754  6486.18  7223.99 2.51 2.42 -46.7 -0.407 19.76 21.63 02a58280o0382c
58282.370335  20.775  0.702    18   12 o  0   1.45 208.90703  40.47754  3766.31  3660.76 2.96 2.82  -1.6 -0.455 19.35 21.12 01a58282o0221o
58282.382324  21.251  1.311    12   15 o  0   1.03 208.90703  40.47754  3797.16  3698.79 2.94 2.82  -5.5 -0.458 19.40 21.09 01a58282o0247o
58282.387617 -21.265  1.267   -11   14 o  0   1.07 208.90703  40.47754  3737.71  3620.86 2.94 2.81  -5.7 -0.457 19.36 21.10 01a58282o0258o
58282.401452  20.551  0.664    22   14 o  0   1.15 208.90703  40.47754  3709.31  3736.81 3.01 2.93  -4.8 -0.442 19.33 21.11 01a58282o0288o
58284.383909  21.442  1.129    10   11 c  0   1.30 208.90703  40.47754  3941.91  8018.71 2.49 2.39   8.0 -0.448 19.70 21.62 02a58284o0300c
58284.394947 -21.430  1.324   -10   13 c  0   0.86 208.90703  40.47754  3926.39  7979.32 2.51 2.32  15.2 -0.451 19.62 21.49 02a58284o0324c
58284.400269 -21.180  0.833   -12   10 c  0   1.19 208.90703  40.47754  3968.57  8055.23 2.57 2.45 -33.5 -0.418 19.71 21.61 02a58284o0335c
58284.415379 -21.708  1.288    -8   10 c  0   1.43 208.90703  40.47754  3999.90  7940.54 2.47 2.35   6.3 -0.445 19.70 21.62 02a58284o0368c
58286.370052  24.385 29.667     1   19 o  0   0.74 208.90703  40.47754  6590.37  5911.02 3.10 2.98 -73.8 -0.433 19.26 20.95 01a58286o0234o
58286.381655 -23.083  7.700    -2   16 o  0   1.27 208.90703  40.47754  6604.71  5949.78 3.04 2.87 -75.9 -0.440 19.22 20.83 01a58286o0259o
58286.386921  20.790  1.058    18   19 o  0   0.88 208.90703  40.47754  6545.42  5873.87 3.39 3.34 -42.7 -0.409 19.14 20.92 01a58286o0270o
58286.401687 -20.857  0.939   -16   16 o  0   1.25 208.90703  40.47754  6531.24  5990.50 3.08 2.83 -74.4 -0.445 19.30 20.88 01a58286o0302o
58290.345462  20.253  0.655    29   19 o  0   1.00 208.90703  40.47754  6245.22  5804.64 3.04 2.96 -18.2 -0.429 19.15 20.48 01a58290o0232o
58290.351118  21.019  1.397    14   20 o  0   0.93 208.90703  40.47754  6276.28  5842.17 3.12 3.03 -63.3 -0.436 19.11 20.48 01a58290o0244o
58290.364149  21.646  2.512     8   20 o  0   1.10 208.90703  40.47754  6216.43  5766.85 3.03 2.88 -81.4 -0.444 19.12 20.45 01a58290o0272o
58290.368462  21.508  2.152     9   20 o  0   0.95 208.90703  40.47754  6189.94  5882.96 3.07 2.91  -6.0 -0.431 19.10 20.45 01a58290o0281o
58292.352297  20.423  0.815    25   20 o  0   0.72 208.90703  40.47754  5847.63  6555.48 2.17 2.05 -33.7 -0.470 19.14 19.82 02a58292o0245o
58292.359426  21.083  1.317    13   18 o  0   0.76 208.90703  40.47754  5831.57  6515.00 2.21 2.10 -31.0 -0.426 19.12 19.82 02a58292o0260o
58292.373834  20.736  0.934    18   17 o  0   1.07 208.90703  40.47754  5888.99  6595.22 2.18 2.11 -20.5 -0.470 19.06 19.83 02a58292o0291o
58292.377760  21.442  2.347    10   23 o  0   0.70 208.90703  40.47754  5902.91  6476.34 2.29 2.16 -39.4 -0.553 19.08 19.82 02a58292o0299o
58294.339183  23.290 13.222     2   23 o  0   1.04 208.90703  40.47754  5523.69  5207.76 3.16 2.81  -0.1 -0.428 18.84 19.98 01a58294o0216o
