###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58260.416067  22.599  8.455     3   28 o  0   0.98 174.24897  55.16395  8084.08  7321.75 2.15 2.04 -23.0 -0.445 18.39 19.21 02a58260o0393o
58260.430360 -20.447  1.250   -24   30 o  0   0.77 174.24897  55.16395  8107.02  7199.59 2.25 2.08 -25.1 -0.414 18.46 19.27 02a58260o0419o
58262.353220  18.737  0.683   116   79 o  0   1.03 174.24897  55.16395  1390.27  5009.02 3.47 3.01  -1.2 -0.429 17.52 18.55 01a58262o0241o
58262.357394  20.318  8.484    27  230 o  0   0.92 174.24897  55.16395  1420.07  5063.78 3.16 2.92  13.3 -0.471 17.07 18.68 01a58262o0250o
58262.368168 -14.607  0.938 -5213 4888 o  0   1.00 174.24897  55.16395  1381.45  5020.31 3.09 2.93  32.4 -0.428 14.17 15.38 01a58262o0273o
58264.341758  21.973  6.436     6   38 o  0   0.92 174.24897  55.16395  7076.02  6352.72 2.54 2.11 -41.8 -0.431 18.32 18.71 02a58264o0231o
58264.356268 -20.772  1.446   -18   26 o  0   0.94 174.24897  55.16395  7052.23  6312.67 2.46 2.15 -42.7 -0.411 18.67 19.21 02a58264o0262o
58264.364185  22.133  4.810     5   24 o  0   1.41 174.24897  55.16395  7104.67  6392.38 2.27 2.09 -37.3 -0.441 18.65 19.15 02a58264o0279o
58264.372649 -19.279  0.800   -70   56 o  0   1.23 174.24897  55.16395  7131.39  6274.15 2.21 2.14 -29.1 -0.441 17.69 17.92 02a58264o0297o
58270.325773  18.489  0.878   146  128 o  0   1.13 174.24897  55.16395  3791.13  5973.07 3.47 3.04  -0.1 -0.419 17.25 18.04 01a58270o0197o
58270.334151 -19.569  2.828   -54  153 o  0   1.10 174.24897  55.16395  3828.13  6042.85 3.29 3.09   4.8 -0.441 17.12 17.92 01a58270o0215o
58270.345404  18.881  5.219   102  531 o  0   1.05 174.24897  55.16395  3781.30  6002.24 3.67 3.02   0.8 -0.399 15.85 16.44 01a58270o0239o
58270.353281  19.939  1.500    38   58 o  0   1.14 174.24897  55.16395  3786.23  6145.86 3.06 2.77  -4.0 -0.441 17.94 19.01 01a58270o0256o
58272.328150  20.473  0.685    24   16 o  0   1.29 174.24897  55.16395  5993.38  5614.96 2.49 2.13 -41.8 -0.438 19.38 20.58 02a58272o0201o
58272.339001 -20.814  0.752   -17   13 o  0   1.14 174.24897  55.16395  5979.72  5573.89 2.61 2.16 -42.5 -0.426 19.43 20.59 02a58272o0224o
58272.345545 -21.658  1.526    -8   12 o  0   1.48 174.24897  55.16395  6034.17  5651.97 2.66 2.19 -43.2 -0.421 19.42 20.55 02a58272o0238o
58272.352183 -21.428  1.768   -10   17 o  0   1.14 174.24897  55.16395  6057.38  5533.96 2.16 2.09  12.4 -0.467 19.28 20.41 02a58272o0252o
58274.306078  21.182  1.260    12   15 o  0   1.57 174.24897  55.16395 10436.14  3862.97 3.66 2.93 -87.1 -0.446 19.21 20.82 01a58274o0154o
58274.314882  20.257  0.739    29   21 o  0   1.08 174.24897  55.16395 10463.00  3932.30 3.94 2.86 -88.4 -0.451 19.26 20.83 01a58274o0173o
58274.322827  14.441  0.006  6076   39 o  0 1615.39 174.24897  55.16395  1036.31  4014.66 3.28 2.97  10.4 -0.432 19.23 20.90 01a58274o0190o
58274.323750  22.182  3.556     5   17 o  0   1.21 174.24897  55.16395 10424.37  3890.19 3.93 2.97 -89.4 -0.447 19.16 20.76 01a58274o0192o
58274.332135  19.104  0.239    83   20 o  0   0.93 174.24897  55.16395 10420.34  4036.80 4.01 3.03 -88.6 -0.442 19.12 20.73 01a58274o0210o
58274.334914  16.178  0.045  1227   55 o  0  47.23 174.24897  55.16395  1070.42  4098.54 3.54 3.21   7.1 -0.419 19.12 20.76 01a58274o0216o
58274.339997  16.493  0.058   918   53 o  0  83.34 174.24897  55.16395  1023.74  4036.48 3.46 3.18   5.4 -0.422 19.15 20.78 01a58274o0227o
58274.349370  16.953  0.094   601   57 o  0  34.02 174.24897  55.16395  1021.05  4180.19 3.24 3.13  48.7 -0.432 19.12 20.72 01a58274o0247o
58276.322468 -21.075  2.239   -14   30 o  0   0.79 174.24897  55.16395  6604.27  6264.12 2.60 2.47 -41.7 -0.423 18.56 19.80 02a58276o0189o
58276.331369 -19.722  0.828   -47   39 o  0   1.43 174.24897  55.16395  6580.85  6220.78 2.45 2.36  40.5 -0.432 18.05 19.30 02a58276o0208o
58276.341411  19.819  1.077    43   46 o  0   0.76 174.24897  55.16395  6633.55  6298.05 2.16 2.10  32.7 -0.472 17.95 18.99 02a58276o0228o
58276.349407  20.181  1.123    31   34 o  0   0.97 174.24897  55.16395  6653.20  6183.44 2.42 2.19 -42.3 -0.424 18.08 19.14 02a58276o0245o
58278.314194 -24.734 34.000    -0   16 o  0   0.99 174.24897  55.16395  3304.24  4862.81 3.57 2.93   2.3 -0.425 19.17 20.89 01a58278o0169o
58278.322131 -22.163  3.417    -5   17 o  0   0.76 174.24897  55.16395  3341.00  4930.16 3.06 3.02  65.7 -0.432 19.23 20.90 01a58278o0186o
58278.331000  19.904  0.404    40   16 o  0   0.96 174.24897  55.16395  3290.76  4881.45 3.15 3.08  60.9 -0.432 19.22 20.91 01a58278o0205o
58278.343090  20.850  0.963    17   16 o  0   1.26 174.24897  55.16395  3306.84  5035.52 3.14 2.83   9.8 -0.441 19.25 20.82 01a58278o0231o
58280.324079  21.784  2.552     7   18 c  0   0.95 174.24897  55.16395  8134.74  6795.50 2.69 2.60  32.1 -0.420 19.07 20.89 02a58280o0177c
58280.334081  21.784  2.258     7   16 c  0   1.31 174.24897  55.16395  8108.66  6752.41 2.74 2.68 -29.3 -0.399 19.20 21.00 02a58280o0198c
58280.349464 -21.327  1.149   -11   12 c  0   1.39 174.24897  55.16395  8164.81  6831.18 2.62 2.52  27.8 -0.420 19.54 21.35 02a58280o0230c
58282.313287  19.735  0.297    46   14 o  0   1.32 174.24897  55.16395  2071.18  4199.71 3.26 2.81   0.1 -0.445 19.27 20.96 01a58282o0099o
58282.321246  21.825  2.250     7   15 o  0   1.18 174.24897  55.16395  2084.10  4238.42 3.20 2.87   1.8 -0.444 19.30 20.93 01a58282o0116o
58282.329651  21.333  1.340    11   14 o  0   1.32 174.24897  55.16395  2028.49  4160.12 3.31 2.99   1.1 -0.437 19.20 20.89 01a58282o0134o
58282.335322  20.380  0.641    26   16 o  0   1.17 174.24897  55.16395  2008.81  4274.20 3.24 2.91  -1.3 -0.446 19.14 20.74 01a58282o0146o
58284.320300 -22.589  3.800    -3   13 c  0   1.51 174.24897  55.16395  5653.68  7449.23 3.29 3.20  34.8 -0.372 19.38 21.44 02a58284o0167c
58284.329908  21.056  0.872    14   12 c  0   0.86 174.24897  55.16395  5629.77  7407.88 2.73 2.64 -40.0 -0.410 19.58 21.41 02a58284o0187c
58284.339533 -21.292  0.985   -11   11 c  0   1.20 174.24897  55.16395  5694.87  7486.02 2.79 2.72 -16.4 -0.403 19.55 21.43 02a58284o0207c
58284.347057  20.291  0.445    28   12 c  0   0.94 174.24897  55.16395  5706.75  7371.66 2.74 2.66 -22.2 -0.404 19.52 21.44 02a58284o0223c
58286.305882 -20.372  0.629   -26   16 o  0   1.22 174.24897  55.16395  4904.91  6511.37 3.22 3.08 -12.4 -0.418 19.12 20.66 01a58286o0150o
58286.313363  22.075  3.417     5   18 o  0   0.98 174.24897  55.16395  4927.08  6549.77 3.24 3.03  -4.8 -0.426 19.11 20.65 01a58286o0166o
58288.305563  22.288  3.725     4   16 o  0   0.68 174.24897  55.16395  8669.60  4045.49 2.22 2.04 -48.8 -0.441 19.40 20.39 02a58288o0149o
58288.314934  21.343  1.149    10   12 o  0   1.35 174.24897  55.16395  8647.79  4003.60 2.16 1.94  58.1 -0.464 19.37 20.34 02a58288o0169o
58288.324322  20.498  0.543    23   12 o  0   1.86 174.24897  55.16395  8699.73  4083.31 2.22 2.09  45.2 -0.469 19.31 20.30 02a58288o0189o
58288.333702  22.630  5.345     3   17 o  0   0.81 174.24897  55.16395  8720.72  3968.12 2.20 2.03  48.7 -0.456 19.34 20.28 02a58288o0209o
58290.292732 -21.410  2.500   -10   25 o  0   0.74 174.24897  55.16395  4556.24  6397.56 3.33 3.19 -69.2 -0.430 18.87 20.20 01a58290o0119o
58290.307240 -22.231  4.636    -5   22 o  0   1.01 174.24897  55.16395  4578.94  6437.89 3.17 2.97 -19.0 -0.435 18.90 20.18 01a58290o0150o
58290.315652  20.549  0.979    22   21 o  0   1.11 174.24897  55.16395  4523.69  6361.81 3.35 3.06 -12.1 -0.412 18.88 20.17 01a58290o0168o
58290.323604  20.402  0.925    25   23 o  0   0.84 174.24897  55.16395  4503.55  6478.04 3.05 2.70  -7.8 -0.435 18.99 20.14 01a58290o0185o
58292.294373  20.467  0.694    24   16 o  0   1.25 174.24897  55.16395  7560.02  6050.24 2.12 1.98  54.4 -0.470 19.09 19.83 02a58292o0121o
58292.310229  20.136  0.623    32   20 o  0   1.02 174.24897  55.16395  7530.83  6011.27 2.32 2.24  50.8 -0.447 18.96 19.73 02a58292o0155o
58292.319591  23.586 12.250     1   16 o  0   1.54 174.24897  55.16395  7596.39  6089.13 2.18 2.11  39.6 -0.461 19.00 19.69 02a58292o0175o
58292.328973 -19.905  0.379   -40   15 o  0   2.06 174.24897  55.16395  7604.19  5974.38 2.19 2.12  25.7 -0.456 18.97 19.64 02a58292o0195o
58294.297118  20.254  0.882    29   25 o  0   0.79 174.24897  55.16395  3822.14  5770.29 2.82 2.60  -7.8 -0.470 18.79 19.80 01a58294o0126o
58294.305990 -20.274  1.019   -28   29 o  0   0.89 174.24897  55.16395  3846.27  5810.37 2.94 2.67  -5.5 -0.459 18.73 19.77 01a58294o0145o
58294.314375  22.194  5.500     5   26 o  0   1.11 174.24897  55.16395  3790.10  5732.46 2.84 2.59  -5.4 -0.469 18.73 19.73 01a58294o0163o
58294.322762  22.308  6.958     4   30 o  0   1.14 174.24897  55.16395  3770.83  5848.80 2.88 2.69  -9.9 -0.464 18.67 19.68 01a58294o0181o
58296.306365 -20.527  1.086   -22   24 o  0   1.21 174.24897  55.16395  7556.41  6189.18 2.35 2.30 -14.5 -0.446 18.63 19.24 02a58296o0147o
58296.316766  20.850  1.413    17   24 o  0   1.01 174.24897  55.16395  7531.35  6148.63 2.16 2.09 -23.2 -0.457 18.68 19.19 02a58296o0169o
58296.327706 -20.419  1.160   -25   29 o  0   0.94 174.24897  55.16395  7594.32  6227.99 2.38 2.30 -24.6 -0.455 18.56 19.13 02a58296o0192o
58296.338174  20.824  1.546    17   26 o  0   1.10 174.24897  55.16395  7602.86  6111.45 2.27 2.21 -36.2 -0.442 18.55 19.04 02a58296o0214o
