HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459904.525,2022-11-21.0263523,bp,1.54,17.818,>17.818,99.99,-0.011,0.054,g
2459905.767,2022-11-22.2678832,bk,1.46,18.025,>18.025,99.99,0.088,0.045,g
2459906.548,2022-11-23.0484767,bp,1.71,17.704,>17.704,99.99,-0.152,0.06,g
2459906.593,2022-11-23.0931141,bo,1.43,17.422,>17.422,99.99,-0.166,0.078,g
2459908.788,2022-11-25.2887645,bH,1.44,18.19,>18.190,99.99,0.105,0.038,g
2459909.025,2022-11-25.5248635,bC,1.55,18.162,>18.162,99.99,0.029,0.039,g
2459909.522,2022-11-26.0227479,bo,1.61,16.956,>16.956,99.99,0.497,0.12,g
2459909.81,2022-11-26.3105567,bl,1.45,17.906,>17.906,99.99,0.128,0.05,g
2459911.757,2022-11-28.2571753,bG,1.42,17.503,>17.503,99.99,0.053,0.072,g
2459911.964,2022-11-28.4646206,bt,1.53,17.627,>17.627,99.99,0.015,0.065,g
2459912.749,2022-11-29.2494315,bk,1.59,17.888,>17.888,99.99,-0.099,0.051,g
2459912.788,2022-11-29.2875447,bG,1.43,17.929,>17.929,99.99,-0.029,0.049,g
2459915.534,2022-12-02.0339988,bp,1.54,17.532,>17.532,99.99,-0.187,0.07,g
2459916.008,2022-12-02.5076001,bC,1.5,18.257,>18.257,99.99,0.007,0.036,g
2459916.524,2022-12-03.0241915,bp,1.54,17.706,>17.706,99.99,-0.022,0.06,g
2459921.475,2022-12-07.9743327,bo,1.62,16.213,>16.213,99.99,-0.134,0.238,g
2459921.483,2022-12-07.9822216,bp,1.73,16.437,>16.437,99.99,0.666,0.193,g
2459923.772,2022-12-10.2712446,bH,1.45,16.985,>16.985,99.99,0.188,0.117,g
2459924.953,2022-12-11.4520447,bs,1.52,17.492,>17.492,99.99,0.065,0.073,g
2459926.879,2022-12-13.3775636,bt,1.81,17.478,>17.478,99.99,0.153,0.074,g
2459928.718,2022-12-15.2165530,bk,1.46,17.489,>17.489,99.99,-0.33,0.073,g
