HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459998.591,2023-02-23.0939576,bt,2.01,18.003,>18.003,99.99,-0.039,0.046,g
2460007.57,2023-03-04.0731305,bt,2.42,15.612,>15.612,99.99,-0.799,0.413,g
2460108.089,2023-06-12.5921861,bD,1.6,18.266,>18.266,99.99,0.083,0.036,g
2460114.09,2023-06-18.5934288,bD,1.54,18.373,>18.373,99.99,0.115,0.032,g
2460118.095,2023-06-22.5979121,bD,1.46,18.51,>18.510,99.99,0.007,0.029,g
2460125.054,2023-06-29.5564846,bD,1.67,18.718,>18.718,99.99,0.004,0.024,g
2460128.093,2023-07-02.5949899,bD,1.7,17.808,>17.808,99.99,-0.104,0.055,g
2460132.027,2023-07-06.5293314,bD,1.5,17.704,>17.704,99.99,-0.073,0.06,g
2460136.035,2023-07-10.5360891,bD,1.51,17.744,>17.744,99.99,-0.073,0.058,g
2460139.008,2023-07-13.5093741,bD,2.04,18.143,>18.143,99.99,0.053,0.04,g
2460142.007,2023-07-16.5082931,bD,1.58,18.526,>18.526,99.99,0.043,0.028,g
2460148.111,2023-07-22.6114325,bD,1.54,18.461,>18.461,99.99,0.079,0.03,g
2460150.986,2023-07-25.4863148,bD,1.52,18.953,>18.953,99.99,0.03,0.019,g
2460155.002,2023-07-29.5019200,bD,1.45,18.093,>18.093,99.99,0.112,0.042,g
2460157,2023-07-31.4996291,bD,1.47,17.353,>17.353,99.99,0.066,0.083,g
2460160.036,2023-08-03.5355056,bD,1.59,17.906,>17.906,99.99,0.097,0.05,g
2460162.94,2023-08-06.4396796,bD,1.5,17.563,>17.563,99.99,-0.098,0.069,g
2460170.999,2023-08-14.4979555,bD,1.51,18.672,>18.672,99.99,-0.01,0.025,g
2460173.839,2023-08-17.3374057,bt,1.51,18.291,>18.291,99.99,0.053,0.035,g
2460175.786,2023-08-19.2840774,bt,1.53,18.398,>18.398,99.99,0.036,0.032,g
2460177.786,2023-08-21.2836998,bt,1.62,18.261,>18.261,99.99,0.145,0.036,g
2460178.794,2023-08-22.2918978,bt,1.45,18.568,>18.568,99.99,-0.048,0.027,g
2460181.918,2023-08-25.4155225,bD,1.55,18.12,>18.120,99.99,0.117,0.041,g
2460182.91,2023-08-26.4072725,bD,1.53,17.821,>17.821,99.99,0.083,0.054,g
2460185.768,2023-08-29.2653952,bt,1.65,17.434,>17.434,99.99,0.187,0.077,g
2460186.873,2023-08-30.3704490,bD,1.54,17.16,>17.160,99.99,-0.257,0.099,g
2460187.916,2023-08-31.4129868,bD,2.17,17.42,>17.420,99.99,0.139,0.078,g
2460190.746,2023-09-03.2429381,bt,1.56,17.25,>17.250,99.99,-0.236,0.091,g
2460196.969,2023-09-09.4651847,bD,1.47,18.884,>18.884,99.99,0.036,0.02,g
2460200.027,2023-09-12.5231395,bD,1.52,18.111,>18.111,99.99,0.017,0.041,g
