HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459388.792,2021-06-23.2915247,bH,1.61,16.875,>16.875,99.99,0.305,0.129,g
2459393.765,2021-06-28.2641565,bl,1.47,17.118,>17.118,99.99,-0.379,0.103,g
2459402.915,2021-07-07.4129855,bH,1.41,18.254,>18.254,99.99,0.014,0.036,g
2459405.533,2021-07-10.0306734,bp,1.55,18.579,>18.579,99.99,-0.022,0.027,g
2459406.543,2021-07-11.0404871,bp,1.5,18.975,>18.975,99.99,0.002,0.019,g
2459406.928,2021-07-11.4260269,bH,1.51,18.42,>18.420,99.99,0.019,0.031,g
2459407.741,2021-07-12.2390130,bH,1.4,18.477,>18.477,99.99,-0.011,0.03,g
2459410.485,2021-07-14.9822981,bp,1.55,18.581,>18.581,99.99,0.025,0.027,g
2459410.73,2021-07-15.2278875,bH,1.43,18.521,>18.521,99.99,-0.018,0.028,g
2459412.47,2021-07-16.9677225,bp,1.53,18.269,>18.269,99.99,0.124,0.036,g
2459413.458,2021-07-17.9549037,bp,1.55,17.861,>17.861,99.99,-0.093,0.052,g
2459414.722,2021-07-19.2196380,bl,1.57,17.752,>17.752,99.99,-0.177,0.058,g
2459415.763,2021-07-20.2598532,bl,1.55,17.712,>17.712,99.99,0.031,0.06,g
2459416.781,2021-07-21.2784880,bl,1.73,17.47,>17.470,99.99,0.134,0.075,g
2459418.855,2021-07-23.3515159,bl,2.11,17.503,>17.503,99.99,-0.193,0.072,g
2459421.943,2021-07-26.4392218,bH,1.51,16.899,>16.899,99.99,0.328,0.126,g
2459425.684,2021-07-30.1808180,bH,1.46,17.598,>17.598,99.99,-0.116,0.066,g
2459426.475,2021-07-30.9714854,bp,1.57,17.939,>17.939,99.99,0.17,0.048,g
2459426.798,2021-07-31.2940229,bl,1.54,18.047,>18.047,99.99,0.072,0.044,g
2459427.782,2021-08-01.2785120,bl,1.46,18.163,>18.163,99.99,-0.032,0.039,g
2459428.982,2021-08-02.4785017,bD,1.54,18.654,>18.654,99.99,-0.061,0.025,g
2459429.935,2021-08-03.4312615,bH,1.39,18.298,>18.298,99.99,0.074,0.035,g
2459429.986,2021-08-03.4818377,bD,1.56,18.809,>18.809,99.99,0.018,0.022,g
2459430.46,2021-08-03.9557056,bp,1.66,18.498,>18.498,99.99,0.1,0.029,g
2459430.962,2021-08-04.4584468,bt,1.47,17.671,>17.671,99.99,-0.035,0.062,g
2459432.671,2021-08-06.1665902,bH,1.41,18.163,>18.163,99.99,0.063,0.039,g
2459433.468,2021-08-06.9638557,bp,1.53,18.461,>18.461,99.99,0.03,0.03,g
2459433.82,2021-08-07.3161740,bt,1.54,17.644,>17.644,99.99,0.087,0.064,g
2459434.855,2021-08-08.3504717,bt,1.74,18.407,>18.407,99.99,0.021,0.032,g
2459435.807,2021-08-09.3027363,bt,1.44,18.278,>18.278,99.99,0.07,0.035,g
2459437.458,2021-08-10.9536091,bp,1.55,18.933,>18.933,99.99,-0.004,0.019,g
2459437.663,2021-08-11.1581002,bH,1.43,18.235,>18.235,99.99,0.002,0.037,g
2459438.967,2021-08-12.4628,bD,1.48,18.678,>18.678,99.99,0.027,0.025,g
2459442.097,2021-08-15.5923356,bD,1.53,19.042,>19.042,99.99,0.039,0.018,g
2459442.981,2021-08-16.4758515,bD,1.48,18.93,>18.930,99.99,-0.03,0.019,g
2459444.913,2021-08-18.4084467,bD,1.45,17.957,>17.957,99.99,0.048,0.048,g
2459446.89,2021-08-20.3846379,bD,1.53,17.408,>17.408,99.99,-0.247,0.079,g
2459447.778,2021-08-21.2732108,bl,1.51,17.04,>17.040,99.99,-0.122,0.111,g
2459449.009,2021-08-22.5037145,bD,1.91,17.245,>17.245,99.99,-0.186,0.092,g
2459453.89,2021-08-27.3843692,bD,1.56,17.946,>17.946,99.99,0.071,0.048,g
2459455.012,2021-08-28.5070887,bD,1.45,17.895,>17.895,99.99,0.022,0.05,g
2459455.954,2021-08-29.4489466,bD,1.46,18.433,>18.433,99.99,-0.065,0.031,g
2459457.799,2021-08-31.2939376,bH,1.41,18.1,>18.100,99.99,0.007,0.042,g
2459459.81,2021-09-02.3045243,bl,1.64,18.531,>18.531,99.99,-0.016,0.028,g
2459460.858,2021-09-03.3526578,bH,1.46,18.114,>18.114,99.99,-0.171,0.041,g
2459462.786,2021-09-05.2805326,bl,1.54,17.87,>17.870,99.99,0.066,0.052,g
2459462.875,2021-09-05.3691836,bt,1.49,18.25,>18.250,99.99,-0.016,0.036,g
2459464.978,2021-09-07.4726798,bD,1.55,18.526,>18.526,99.99,0.054,0.028,g
2459465.703,2021-09-08.1971351,bl,1.65,18.451,>18.451,99.99,-0.06,0.03,g
2459466.478,2021-09-08.9728203,bp,1.63,18.45,>18.450,99.99,-0.063,0.03,g
2459468.953,2021-09-11.4472679,bD,1.46,18.524,>18.524,99.99,0.012,0.028,g
2459469.878,2021-09-12.3723835,bt,1.54,18.793,>18.793,99.99,0.028,0.022,g
2459470.752,2021-09-13.2468234,bt,1.49,18.546,>18.546,99.99,-0.027,0.028,g
2459470.836,2021-09-13.3305805,bD,1.45,18.492,>18.492,99.99,-0.074,0.029,g
2459471.918,2021-09-14.4126564,bt,1.51,18.51,>18.510,99.99,-0.052,0.029,g
2459473.346,2021-09-15.8405508,bp,1.57,17.549,>17.549,99.99,0.058,0.069,g
2459475.683,2021-09-18.1768504,bH,1.48,17.235,>17.235,99.99,-0.401,0.093,g
