         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57782.551912 19.419021      NaN   17    15 c    0   4.15 196.6049 53.47931  1254.83  2972.06 3.91 3.66  73.9 -0.396    19.85 21.91 02a57782o0692c  0x80000  25.487272
57782.565935 19.652575 0.304006   50    14 c    0   2.32 196.6049 53.47931  1265.18  3014.29 4.00 3.79  73.3 -0.388    19.84 21.97 02a57782o0718c   0x0000  24.911865
57782.580375 19.384550      NaN   22    14 c    0   2.52 196.6049 53.47931  1208.43  2935.31 4.05 3.84  74.5 -0.387    19.84 22.00 02a57782o0744c  0x80000  24.911865
57782.594353 19.743105      NaN    7    13 c    0   2.53 196.6049 53.47931  1199.07  3053.17 4.00 3.76  70.5 -0.395    19.88 22.02 02a57782o0770c   0x0000  24.363929
57782.608381 19.256669      NaN   30    14 c    0   2.98 196.6049 53.47931  1235.16  3000.23 4.00 3.79  72.5 -0.388    19.83 21.94 02a57782o0796c 0x400400  24.911865
57786.532174 18.933071 0.223863   97    20 c    0   7.23 196.6049 53.47931 10476.40  1612.66 3.91 3.49  73.8 -0.459    19.77 21.81 02a57786o0447c 0x400a01  28.715867
57786.550697 18.857417 0.313193  104    30 c    0  13.07 196.6049 53.47931 10497.55  1652.42 3.90 3.52  74.3 -0.463    19.82 21.88 02a57786o0482c 0x400801  36.395069
57786.555605 19.169763      NaN   36    14 c    0   3.05 196.6049 53.47931   994.80  1676.44 3.91 3.83 -59.4 -0.409    19.82 21.89 02a57786o0492c  0x80000  24.911865
57786.559910 19.401649      NaN    9    18 c    0   2.94 196.6049 53.47931 10441.95  1578.49 3.91 3.52  72.1 -0.465    19.73 21.80 02a57786o0500c   0x0000  27.360574
57786.565789 19.351140      NaN   18    16 c    0   3.09 196.6049 53.47931  1021.76  1719.81 3.91 3.84 -63.0 -0.410    19.84 21.93 02a57786o0511c  0x80000  26.088331
57786.572639 19.226921      NaN   29    15 c    0   2.91 196.6049 53.47931 10431.93  1699.16 3.93 3.53  72.1 -0.460    19.85 21.96 02a57786o0524c  0x80000  25.487272
57786.578516 19.696897      NaN   -1    16 c    0   3.36 196.6049 53.47931   962.10  1638.38 3.89 3.82 -54.8 -0.409    19.86 21.97 02a57786o0535c  0x80000  26.088331
57786.585404 19.510313      NaN   -4    19 c    0   2.85 196.6049 53.47931 10468.42  1639.29 3.96 3.56  70.0 -0.455    19.85 21.97 02a57786o0548c 0x400100  28.028575
57786.591367 19.529530 0.348987   56    18 c    0   4.32 196.6049 53.47931   941.32  1754.19 3.89 3.82 -58.0 -0.409    19.58 21.64 02a57786o0559c   0x0000  27.360574
57786.604306 19.696897      NaN    0    16 c    0   2.60 196.6049 53.47931   976.92  1698.94 3.95 3.85 -36.6 -0.404    19.83 21.97 02a57786o0583c   0x0000  26.088331
57806.521077 19.128787      NaN   36    15 c    0   4.00 196.6049 53.47931  2146.18  2976.19 3.90 3.85 -66.3 -0.382    19.75 21.83 02a57806o0566c   0x0000  25.487272
57806.534032 19.212347      NaN   30    15 c    0   2.69 196.6049 53.47931  2161.57  3012.83 3.98 3.92 -77.3 -0.379    19.72 21.83 02a57806o0589c   0x0000  25.487272
57806.554952 19.743105 0.354044   46    15 c    0   5.57 196.6049 53.47931  8381.21  7507.79 4.08 3.62  85.7 -0.414    19.77 21.88 02a57806o0628c   0x0001  25.487272
57806.561199 19.241693      NaN   28    15 c    0   2.15 196.6049 53.47931  2092.84  3051.09 3.86 3.82 -58.5 -0.394    19.78 21.88 02a57806o0639c  0x80000  25.487272
57806.575633 19.589310      NaN    5    16 c    0   2.39 196.6049 53.47931  8352.47  7448.17 4.00 3.50  86.7 -0.422    19.78 21.84 02a57806o0665c  0x80000  26.088331
57834.474120 19.631075      NaN  -11    17 c    0   2.44 196.6049 53.47931  1021.80  4912.83 4.10 3.84  60.9 -0.403    19.04 21.12 02a57834o0407c  0x80000  26.713312
57834.483495 18.776955 0.271434  112    28 c    0  12.77 196.6049 53.47931    51.74  5634.50 4.15 3.88  60.3 -0.368    19.05 21.13 02a57834o0425c 0x400801  34.764940
57834.499194 18.481707      NaN   69    26 c    0  11.38 196.6049 53.47931    62.91  5511.49 4.08 3.78  61.6 -0.388    19.08 21.17 02a57834o0455c 0x400801  33.175308
57834.502813 18.933071      NaN   40    19 c    0   2.74 196.6049 53.47931  9446.39  5490.56 4.03 3.65 -89.7 -0.412    19.10 21.18 02a57834o0462c   0x0000  28.028575
57834.504876 18.921935      NaN   44    18 c    0   3.73 196.6049 53.47931  9504.44  5572.00 4.08 3.72  88.7 -0.407    19.08 21.19 02a57834o0466c 0x400400  27.360574
57834.521327 19.197966      NaN   22    18 c    0   2.35 196.6049 53.47931  9525.57  5456.80 4.02 3.62 -89.1 -0.408    19.05 21.05 02a57834o0496c   0x0000  27.360574
57834.529916 18.867907      NaN   46    19 c    0   3.37 196.6049 53.47931  9489.23  5514.90 4.03 3.75  88.2 -0.402    18.99 20.94 02a57834o0511c  0x80000  28.028575
57838.475438 19.510313 0.342864   57    18 c    0   3.31 196.6049 53.47931  1927.27  1712.11 4.24 4.23   9.5 -0.373    19.01 21.22 02a57838o0422c  0x80000  27.360574
57838.483855 19.454622 0.325721   60    18 c    0   3.29 196.6049 53.47931  8545.42  8689.01 4.45 4.12  82.2 -0.383    19.01 21.22 02a57838o0438c  0x80000  27.360574
57838.503400 19.076453      NaN   28    19 c    0   4.62 196.6049 53.47931  8601.62  8772.23 4.17 3.86  86.0 -0.401    19.05 21.19 02a57838o0475c   0x0000  28.028575
57838.508422 19.271854      NaN   11    20 c    0   2.41 196.6049 53.47931  8629.56  8659.27 4.59 4.28  10.5 -0.372    18.95 21.17 02a57838o0484c   0x0000  28.715867
57838.530237 18.944322      NaN   36    20 c    0   2.83 196.6049 53.47931  8578.60  8712.38 4.11 3.81  80.9 -0.404    19.04 21.12 02a57838o0525c   0x0000  28.715867
57842.464131 19.287255      NaN   16    18 c    0   2.51 196.6049 53.47931  1471.17  5201.61 4.02 3.74  59.8 -0.410    19.06 21.05 02a57842o0384c  0x82000  27.360574
57842.521190 19.631075      NaN  -14    17 c    0   1.68 196.6049 53.47931  1516.81  5215.81 3.99 3.72  63.0 -0.412    19.00 20.97 02a57842o0438c  0x82000  26.713312
57862.454718 19.569016      NaN  -12    18 c    0   3.81 196.6049 53.47931  1168.07  5441.68 3.75 3.60  84.4 -0.428    19.05 20.87 02a57862o0476c  0x80000  27.360574
57862.473247 19.401649      NaN  -20    21 c    0   1.89 196.6049 53.47931  1146.19  5404.01 4.13 3.99  72.4 -0.395    18.78 20.48 02a57862o0514c   0x0000  29.421098
57862.481464 19.271854      NaN   14    19 c    0   3.58 196.6049 53.47931  1202.17  5495.56 3.92 3.80  82.4 -0.405    18.76 20.32 02a57862o0531c  0x80000  28.028575
57862.491810 19.128787      NaN   21    20 c    0   2.55 196.6049 53.47931  1228.89  5377.46 3.86 3.73  75.3 -0.415    18.71 20.18 02a57862o0552c  0x80000  28.715867
57862.503038 19.102305      NaN   17    22 c    0   2.25 196.6049 53.47931  1195.24  5435.66 3.88 3.74  82.8 -0.413    18.66 20.08 02a57862o0575c  0x80000  30.143010
57870.474775 19.419021      NaN   26    12 c    0   3.14 196.6049 53.47931  8964.64  7012.81 2.84 2.40  60.9 -0.488    19.55 20.71 02a57870o0407c   0x0000  23.845357
57870.487920 19.841877      NaN   -2    14 c    0   1.66 196.6049 53.47931  8942.65  6972.02 2.79 2.40  57.9 -0.497    19.51 20.65 02a57870o0432c   0x0000  24.911865
57870.497405 19.841877      NaN    3    13 c    0   3.67 196.6049 53.47931  9000.00  7050.82 2.88 2.47  59.0 -0.492    19.47 20.61 02a57870o0450c   0x0000  24.363929
57870.508551 19.841877      NaN    0    14 c    0   2.75 196.6049 53.47931  9013.00  6936.61 2.91 2.48  59.6 -0.489    19.44 20.56 02a57870o0471c   0x0000  24.911865
57870.521137 19.791368      NaN    5    13 c    0   3.19 196.6049 53.47931  8979.09  6990.70 2.89 2.48  58.0 -0.488    19.41 20.53 02a57870o0495c   0x0000  24.363929
57894.384111 19.510313 0.228576   57    12 c    0   4.36 196.6049 53.47931  8394.76  8095.81 2.87 2.49  74.6 -0.435    19.68 21.51 02a57894o0287c   0x0000  23.845357
57894.395224 19.142275      NaN   38    14 c    0   2.18 196.6049 53.47931  8371.36  8052.76 2.99 2.57  75.3 -0.438    19.59 21.46 02a57894o0308c  0x80000  24.911865
57894.414781 19.589310      NaN   20    11 c    0   1.63 196.6049 53.47931  8432.09  8134.28 2.97 2.60  73.0 -0.434    19.76 21.68 02a57894o0345c   0x0000  23.358104
57894.421632 19.351140      NaN   30    12 c    0   3.30 196.6049 53.47931  8454.99  8014.46 2.84 2.51  74.7 -0.435    19.78 21.59 02a57894o0358c   0x0000  23.845357
57894.442817 19.472870      NaN   20    13 c    0   1.39 196.6049 53.47931  8420.63  8071.23 2.88 2.57  70.2 -0.437    19.65 21.47 02a57894o0398c   0x0000  24.363929
57898.368023 20.009244      NaN   -5    12 c    0   1.50 196.6049 53.47931  8928.53  7126.15 3.11 2.44  71.8 -0.470    19.78 21.68 02a57898o0098c   0x0000  23.845357
57898.398134 20.137125 0.339293   32    10 c    0   2.77 196.6049 53.47931  8915.97  7084.52 3.16 2.47  71.2 -0.458    19.77 21.65 02a57898o0155c   0x0000  22.904171
57898.400236 19.589310      NaN   17    12 c    0   1.15 196.6049 53.47931  8975.17  7165.49 3.17 2.47  72.4 -0.457    19.75 21.64 02a57898o0159c   0x0000  23.845357
57898.415647 16.407627 0.013121  993    12 c    0 239.34 196.6049 53.47931  8986.12  7045.26 3.26 2.55  72.7 -0.447    19.71 21.61 02a57898o0188c   0x0001  23.845357
57898.436356 16.584144 0.012864  844    10 c    0 230.78 196.6049 53.47931  8953.54  7102.20 3.23 2.57  72.1 -0.448    19.67 21.55 02a57898o0227c   0x0001  22.904171
57902.347190 19.271854      NaN   20    17 c    0   0.89 196.6049 53.47931  2042.49  5996.87 2.42 2.34  11.1 -0.468    19.31 20.93 02a57902o0221c   0x0000  26.713312
