         MJD         m       dm      uJy  duJy F  err   chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    duJy_new  uJy_offset
57535.326781 17.334149      NaN   -66.12   141 o    0    5.43 196.6049 53.47931    57.50  6684.03  4.56 3.60 -59.8 -0.452    17.23 18.78 02a57535o0204o 0x402801  143.104898      -24.12
57535.343288 16.576453 0.125179   825.88    98 o    0   23.48 196.6049 53.47931   118.39  6756.49  4.42 3.46 -60.0 -0.443    17.36 18.82 02a57535o0238o 0x402801  101.005008      -24.12
57535.345231 16.812360 0.255561   659.88   161 o    0    3.53 196.6049 53.47931  9510.93  6620.98  4.25 3.05  82.4 -0.482    16.80 18.19 02a57535o0242o 0x402802  162.846590      -24.12
57535.348133 16.828350 0.214248   649.88   133 o    0    6.13 196.6049 53.47931  9570.24  6702.94  4.34 3.17  81.0 -0.501    17.06 18.54 02a57535o0248o  0x82001  135.229478      -24.12
57535.349102 18.191747 0.361912   167.88    64 o    0    6.60 196.6049 53.47931   132.25  6639.58  4.28 3.44 -60.2 -0.459    17.84 19.36 02a57535o0250o  0x82001   68.512858      -24.12
57535.359774 18.526952      NaN   -89.12    47 o    0   45.91 196.6049 53.47931    96.94  6700.56  4.35 3.47 -59.4 -0.443    18.29 19.82 02a57535o0271o 0x402801   52.981239      -24.12
57535.360742 18.459772      NaN   -40.12    50 o    0    1.62 196.6049 53.47931  9594.25  6589.08  4.35 3.11  84.8 -0.491    18.34 19.90 02a57535o0273o  0x82000   55.659785      -24.12
57535.370913 18.249822      NaN    61.88    32 o    0    5.66 196.6049 53.47931  9551.96  6644.50  4.35 3.12  83.9 -0.483    18.72 20.32 02a57535o0294o   0x2001   40.274207      -24.12
57568.291153 19.169763      NaN   -65.12    26 o    0    5.55 196.6049 53.47931   297.38  6389.05  4.11 3.54 -58.5 -0.446    19.01 20.55 02a57568o0114o   0x0001   35.693301      -24.12
57568.300206 18.944322      NaN   -12.12    28 o    0    3.43 196.6049 53.47931  9760.17  6360.08  4.35 3.04  86.0 -0.509    19.01 20.58 02a57568o0132o  0x80000   37.175418      -24.12
57568.303164 18.640491      NaN    21.88    27 o    0    5.55 196.6049 53.47931   284.98  6348.03  4.14 3.53 -56.0 -0.442    18.99 20.52 02a57568o0138o   0x0001   36.428172      -24.12
57568.304132 19.128787      NaN   -30.12    27 o    0    3.66 196.6049 53.47931  9736.85  6318.42  4.32 3.10  85.7 -0.505    19.03 21.25 02a57568o0140o  0x80000   36.428172      -24.12
57568.317921 18.806434      NaN     9.88    25 o    0    6.41 196.6049 53.47931   344.13  6420.87  4.21 3.55 -55.3 -0.457    18.99 20.53 02a57568o0168o   0x0001   34.971584      -24.12
57568.323743 18.720295 0.220828    93.88    24 o    0    6.47 196.6049 53.47931  9794.09  6398.06  4.35 3.06  86.5 -0.503    19.03 20.60 02a57568o0180o   0x0001   34.263854      -24.12
57568.324709 19.169763      NaN   -36.12    26 o    0    4.97 196.6049 53.47931   357.94  6301.09  4.12 3.48 -57.4 -0.457    18.99 20.54 02a57568o0182o   0x0000   35.693301      -24.12
57568.334590 19.142275      NaN   -16.12    24 o    0    3.52 196.6049 53.47931   324.25  6360.75  4.25 3.53 -55.8 -0.438    19.00 20.58 02a57568o0202o   0x0000   34.263854      -24.12
57568.336534 18.796518      NaN    -4.12    30 o    0    5.52 196.6049 53.47931  9817.92  6282.39  4.31 3.15  85.8 -0.503    19.04 20.66 02a57568o0206o  0x80001   38.704156      -24.12
57568.345245 18.796518      NaN     4.88    27 o    0    3.26 196.6049 53.47931  9771.78  6336.49  4.31 3.08  86.9 -0.505    19.06 20.68 02a57568o0224o  0x80000   36.428172      -24.12
57589.257218 17.536732      NaN   -56.12   117 o    0    1.43 196.6049 53.47931   504.93  8335.15  4.08 3.63 -58.8 -0.497    18.08 18.85 02a57589o0069o   0x0000  119.528288      -24.12
57589.272048 17.442003      NaN    31.88   109 o    0    2.13 196.6049 53.47931   480.84  8295.73  4.17 3.52 -59.9 -0.499    18.06 18.86 02a57589o0099o   0x0000  111.709497      -24.12
57589.273493 17.318857      NaN    65.88   113 o    0    1.73 196.6049 53.47931  9972.00  8334.01  4.60 3.00  85.0 -0.495    18.09 18.90 02a57589o0102o  0x80000  115.615794      -24.12
57589.280926 17.539830      NaN    37.88    96 o    0    1.54 196.6049 53.47931  9959.83  8293.03  4.58 2.98  84.6 -0.500    18.21 19.04 02a57589o0117o  0x80000   99.065694      -24.12
57589.284597 17.347059      NaN    78.88   105 o    0    1.50 196.6049 53.47931   538.49  8368.71  4.04 3.47 -58.1 -0.497    18.12 18.90 02a57589o0124o   0x0000  107.810072      -24.12
57589.294082 16.924287      NaN   226.88   122 o    0    1.49 196.6049 53.47931 10017.21  8374.36  4.61 3.01  85.2 -0.536    18.13 18.92 02a57589o0143o  0x80000  124.426732      -24.12
57589.296740 17.473643      NaN   -94.12   124 o    0    1.70 196.6049 53.47931   562.75  8246.78  4.11 3.49 -57.6 -0.489    18.04 18.76 02a57589o0148o   0x0000  126.388337      -24.12
57598.265384 18.786693      NaN     8.88    26 o    0    3.24 196.6049 53.47931  1591.31  7339.13  4.41 3.98 -62.4 -0.434    18.93 20.69 02a57598o0060o 0x400400   35.693301      -24.12
57598.276182 19.155932      NaN   -23.12    26 o    0    3.10 196.6049 53.47931  1567.12  7298.70  4.36 3.91 -59.0 -0.439    18.97 20.68 02a57598o0082o  0x80000   35.693301      -24.12
57598.288885 18.657725      NaN    28.88    24 o    0    3.32 196.6049 53.47931  1623.63  7372.67  4.42 3.95 -59.8 -0.444    18.90 20.67 02a57598o0108o  0x80000   34.263854      -24.12
57598.304401 18.574166      NaN    23.88    29 o    0    2.77 196.6049 53.47931  1646.10  7257.22  4.48 3.98 -57.3 -0.425    18.86 20.61 02a57598o0140o  0x80000   37.934308      -24.12
57762.553457 18.967180      NaN   -17.12    29 o    0    2.01 196.6049 53.47931  8390.69  3983.02  3.59 3.17 -87.4 -0.450    18.90 20.01 02a57762o0708o  0x80000   37.934308      -24.12
57762.565715 18.978793      NaN    -3.12    24 o    0    2.66 196.6049 53.47931  8412.18  4023.23  3.55 3.12 -87.8 -0.458    18.98 20.15 02a57762o0730o  0x80000   34.263854      -24.12
57762.577825 18.767304      NaN    13.88    25 o    0    2.18 196.6049 53.47931  8354.40  3949.48  3.58 3.18 -87.4 -0.449    19.10 20.39 02a57762o0752o  0x80000   34.971584      -24.12
57762.589733 18.900000      NaN    15.88    20 o    0    2.97 196.6049 53.47931  8326.14  4068.99  3.59 3.17  89.8 -0.445    19.35 20.87 02a57762o0774o  0x80000   31.591324      -24.12
57762.600724 18.323878 0.114960   145.88    18 o    0    9.13 196.6049 53.47931  8373.15  4010.68  3.60 3.18 -89.9 -0.445    19.58 21.35 02a57762o0795o 0x400801   30.364646      -24.12
57766.573597 18.598565      NaN  -130.12    44 o    0    2.22 196.6049 53.47931  1202.74  3878.37  3.74 3.58  86.9 -0.427    18.48 19.21 02a57766o0693o   0x0000   50.338968      -24.12
57766.586775 18.053859      NaN    67.88    42 o    0    2.10 196.6049 53.47931  1224.88  3921.43  3.68 3.48  81.0 -0.447    18.52 19.23 02a57766o0716o 0x400100   48.600532      -24.12
57766.600329 18.657725      NaN   -10.12    37 o    0    1.88 196.6049 53.47931  1165.53  3841.78  3.66 3.44  83.6 -0.442    18.54 19.26 02a57766o0740o   0x0000   44.351006      -24.12
57766.614094 18.445391      NaN    -4.12    44 o    0    1.77 196.6049 53.47931  1142.05  3957.43  3.68 3.46  78.6 -0.445    18.56 19.28 02a57766o0764o   0x0000   50.338968      -24.12
57766.626924 18.526952      NaN   -37.12    47 o    0    1.62 196.6049 53.47931  1188.17  3903.08  3.71 3.49  79.9 -0.440    18.55 19.30 02a57766o0787o  0x80000   52.981239      -24.12
57774.543458 19.142275      NaN   -13.12    23 o    0    2.15 196.6049 53.47931 10303.08  4747.96  3.81 3.08  87.9 -0.448    19.30 20.86 02a57774o0692o  0x80000   33.570995      -24.12
57774.556083 18.889197      NaN    16.88    20 o    0    1.97 196.6049 53.47931 10317.09  4790.71  3.79 3.01  88.7 -0.448    19.39 20.98 02a57774o0716o  0x80000   31.591324      -24.12
